cod_grupo_unidade;desc_grupo_unidade
214-2018-21020301;SESI - DOURADOS
214-2018-21020302;SESI - DOURADOS
214-2018-21020303;SESI - DOURADOS
214-2018-21020304;SESI - NAVIRAÍ
214-2018-21020305;SESI - NAVIRAÍ
214-2018-21020306;SESI - NAVIRAÍ
214-2018-21020401;SESI - TRÊS LAGOAS
214-2018-21020402;SESI - TRÊS LAGOAS
214-2018-21020403;SESI - TRÊS LAGOAS
214-2018-21020404;SESI - APARECIDA DO TABOADO
214-2018-21020405;SESI - APARECIDA DO TABOADO
214-2018-21020406;SESI - APARECIDA DO TABOADO
214-2018-21020501;SESI - BONITO
214-2018-21020503;SESI - BONITO
214-2018-21020603;SESI - CENTRO DE INOVAÇÃO
214-2019-21020101;SESI - CAMPO GRANDE
214-2019-21020102;SESI - CAMPO GRANDE
214-2019-21020103;SESI - CAMPO GRANDE
214-2019-21020104;SESI - MARACAJU
214-2019-21020105;SESI - MARACAJU
214-2019-21020106;SESI - MARACAJU
214-2019-21020201;SESI - CORUMBÁ
214-2019-21020202;SESI - CORUMBÁ
214-2019-21020203;SESI - CORUMBÁ
214-2019-21020301;SESI - DOURADOS
214-2019-21020302;SESI - DOURADOS
214-2019-21020303;SESI - DOURADOS
214-2019-21020304;SESI - NAVIRAÍ
214-2019-21020305;SESI - NAVIRAÍ
214-2019-21020306;SESI - NAVIRAÍ
214-2019-21020401;SESI - TRÊS LAGOAS
214-2019-21020402;SESI - TRÊS LAGOAS
214-2019-21020403;SESI - TRÊS LAGOAS
214-2019-21020404;SESI - APARECIDA DO TABOADO
214-2019-21020405;SESI - APARECIDA DO TABOADO
214-2019-21020406;SESI - APARECIDA DO TABOADO
214-2019-21020501;SESI - BONITO
214-2019-21020503;SESI - BONITO
214-2019-21020603;SESI - CENTRO DE INOVAÇÃO
214-2020-21020101;SESI - CAMPO GRANDE
214-2020-21020102;SESI - CAMPO GRANDE
214-2020-21020103;SESI - CAMPO GRANDE
214-2020-21020104;SESI - MARACAJU
214-2020-21020105;SESI - MARACAJU
214-2020-21020106;SESI - MARACAJU
214-2020-21020201;SESI - CORUMBÁ
214-2020-21020202;SESI - CORUMBÁ
214-2020-21020203;SESI - CORUMBÁ
214-2020-21020301;SESI - DOURADOS
214-2020-21020302;SESI - DOURADOS
214-2020-21020303;SESI - DOURADOS
214-2020-21020304;SESI - NAVIRAÍ
214-2020-21020305;SESI - NAVIRAÍ
214-2020-21020306;SESI - NAVIRAÍ
214-2020-21020401;SESI - TRÊS LAGOAS
214-2020-21020402;SESI - TRÊS LAGOAS
214-2020-21020403;SESI - TRÊS LAGOAS
214-2020-21020404;SESI - APARECIDA DO TABOADO
214-2020-21020405;SESI - APARECIDA DO TABOADO
214-2020-21020406;SESI - APARECIDA DO TABOADO
214-2020-21020501;SESI - BONITO
214-2020-21020503;SESI - BONITO
214-2020-21020603;SESI - CENTRO DE INOVAÇÃO
214-2021-21020101;SESI - CAMPO GRANDE
214-2021-21020102;SESI - CAMPO GRANDE
214-2021-21020103;SESI - CAMPO GRANDE
214-2021-21020104;SESI - MARACAJU
214-2021-21020105;SESI - MARACAJU
214-2021-21020106;SESI - MARACAJU
214-2021-21020201;SESI - CORUMBÁ
214-2021-21020202;SESI - CORUMBÁ
214-2021-21020203;SESI - CORUMBÁ
214-2021-21020301;SESI - DOURADOS
214-2021-21020302;SESI - DOURADOS
214-2021-21020303;SESI - DOURADOS
214-2021-21020304;SESI - NAVIRAÍ
214-2021-21020305;SESI - NAVIRAÍ
214-2021-21020306;SESI - NAVIRAÍ
214-2021-21020401;SESI - TRÊS LAGOAS
214-2021-21020402;SESI - TRÊS LAGOAS
214-2021-21020403;SESI - TRÊS LAGOAS
214-2021-21020404;SESI - APARECIDA DO TABOADO
214-2021-21020405;SESI - APARECIDA DO TABOADO
214-2021-21020406;SESI - APARECIDA DO TABOADO
214-2021-21020501;SESI - BONITO
214-2021-21020503;SESI - BONITO
214-2021-21020603;SESI - CENTRO DE INOVAÇÃO
;
