cod_grupo_centro;desc_grupo_centro
2018-30303010101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303010201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020102;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020190;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020301;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020501;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020502;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020503;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020504;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303020601;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303040101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303040190;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303040201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018-30303040401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303010101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303010102;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303010201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020102;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020202;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020301;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020501;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020502;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020503;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303020601;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303040101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303040201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303040401;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019-30303040501;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020-30303010101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020-30303010102;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020-30303010201;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020-30303020101;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
